community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0309,118,114,54,44,0.6286,dpi,0.7836,0.0085,0.3305,Project Components,0.2409,0.3853,0.6512,REF030,0.3917,shortlist,,20260918T0131-7dd1a33,discover-1
c0119,117,108,70,43,0.6143,access_connectivity,0.8402,0.0,0.4274,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.3575,0.3164,0.7457,REF027,0.3438,shortlist,,20260918T0131-7dd1a33,discover-1
c0683,117,107,59,56,0.8,,0.0,0.0342,0.9744,Implementation Arrangements and Support Plan,0.3194,0.2596,0.7903,REF085,0.3266,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0508,116,100,39,29,0.4143,dpi,0.8775,0.0431,0.4483,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.1957,0.2845,0.7326,REF027,0.2611,shortlist,,20260918T0131-7dd1a33,discover-1
c0311,115,102,70,54,0.7714,dpi,0.9602,0.3478,0.1826,Project Components,0.3676,0.3118,0.7667,REF053,0.4086,shortlist,,20260918T0131-7dd1a33,discover-1
c0520,115,105,61,57,0.8143,,0.0,0.0522,1.0,Implementation Arrangements and Support Plan,0.3493,0.3389,0.8361,REF045,0.4089,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0677,115,106,52,42,0.6,mobile_towers,0.8871,0.0,0.1826,Project Development Objective,0.2491,0.1844,0.6994,REF011,0.2966,shortlist,,20260918T0131-7dd1a33,discover-1
c0759,115,104,38,29,0.4143,dpi,0.8337,0.0087,0.1217,Project Components,0.1945,0.2724,0.7475,REF067,0.5833,shortlist,,20260918T0131-7dd1a33,discover-1
c0714,114,74,23,24,0.3429,access_connectivity,0.7068,0.0,0.3246,Country Context,0.0932,0.3958,0.5914,REF087,0.3473,shortlist,,20260918T0131-7dd1a33,discover-1
c0438,111,105,57,48,0.6857,dpi,0.8836,0.0,0.6126,Implementation Arrangements and Support Plan,0.2591,0.3143,0.6637,REF036,0.299,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0723,111,68,22,16,0.2286,access_connectivity,0.8541,0.0,0.0541,Country Context,0.0851,0.34,0.5646,REF025,0.2565,shortlist,,20260918T0131-7dd1a33,discover-1
c0141,110,96,57,45,0.6429,access_connectivity,0.4561,0.0,0.9545,KEY RISKS,0.3029,0.4027,0.7759,REF030,0.4144,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0358,110,103,51,50,0.7143,access_connectivity,0.6639,0.5636,0.1909,"Technical, Economic and Financial Analysis",0.2566,0.3234,0.7345,REF085,0.3462,shortlist,,20260918T0131-7dd1a33,discover-1
c0585,110,97,66,36,0.5143,access_connectivity,0.8105,0.0091,0.3455,Project Status,0.343,0.2576,0.7588,REF005,0.3603,shortlist,,20260918T0131-7dd1a33,discover-1
c0595,110,76,46,42,0.6,drm_ews,0.6566,0.0091,0.0818,Relevance to Higher Level Objectives,0.2248,0.4419,0.7135,REF085,0.4796,shortlist,,20260918T0131-7dd1a33,discover-1
